angle;angle;angle;angle;angle;angle;angle;angle;angle;angle;NULL;speed;speed;speed;speed;speed;speed;speed;speed;speed;speed
-0,4;-0,42;-0,2;-0,12;-0,1;-0,15;-0,03;-0,43;-0,41;0,13;NULL;0,96;0,12;-0,9;1,62;1,7;-1,3;0,65;0,36;-1,5;-1,1
0,05;0,43;-0,05;0,4;0,38;0,16;-0,31;0,29;-0,23;-0,42;NULL;1,91;-0,62;-0,38;0,04;-0,54;1,55;-1,07;0,7;-0,32;-0,94
-0,32;-0,08;0,39;-0,43;0,23;0,21;0,00999999;-0,29;-0,2;-0,06;NULL;-1;1,43;-1,09;-0,16;-0,75;-0,57;-1,8;-0,16;0,22;1,24
-0,16;-0,25;-0,31;-0,4;0,06;0,21;0,1;0,38;0,43;0,3;NULL;-1,4;-0,95;0,78;1,76;0,9;-1,52;1,25;0,41;-0,8;-0,69
-0,07;0,14;0,41;0,21;0,03;-0,25;-0,08;-0,21;-0,24;0,09;NULL;-0,58;-1,6;-1,46;1,83;-1,88;-0,46;-1,31;1,54;0,03;-1,9
-0,37;-0,29;0,14;-0,04;0,09;-0,17;0,3;0,41;-0,04;-0,31;NULL;1,41;-1,02;1,78;-1,55;0,79;-0,99;1,52;-0,11;0,44;0,3
-0,34;0,15;-0,02;0,43;-0,27;-0,09;-0,33;0,32;-0,14;-2,38419E-09;NULL;-0,2;-1,14;1,4;0,95;0,75;-0,6;1,28;-0,31;0,22;0,91
0,08;-2,38419E-09;-0,26;0,13;-0,36;-0,08;-0,43;-0,22;-0,23;-0,09;NULL;0,0899999;-1,14;-1,43;0,46;-0,82;-1,77;1,33;-0,0700001;-1,18;1,5
0,34;0,27;0,35;0,1;-2,38419E-09;0,28;0,17;0,25;-0,15;0,26;NULL;0,94;0,46;-1;-0,26;1,42;-0,76;0,85;-0,9;-1,83;0,51
-0,00999999;-0,07;-0,3;0,33;0,42;-2,38419E-09;0,29;0,11;-0,09;0,03;NULL;0,78;-0,47;1,99;-0,39;1,11;-0,23;0,54;0,24;-0,56;-1,45
0,06;-2,38419E-09;-0,11;0,19;0,22;0,08;0,22;-0,04;-0,2;0,03;NULL;-1,87;-0,26;-0,36;0,29;1,21;0,92;0,33;-0,52;-1,64;-1,68
0,00999999;-0,03;0,31;-0,07;0,03;-0,21;0,21;-0,38;-0,38;-0,03;NULL;1,14;0,62;-1,36;1,23;1,57;0,22;-0,31;1,55;0,7;-0,37
0,15;0,4;-0,32;-0,23;0,1;-0,16;-0,02;-0,34;0,31;-0,27;NULL;-0,23;-1,27;0,98;-2;-1,83;1,56;1,24;0,95;-0,65;-0,99
0,15;0,16;0,28;-0,28;0,41;-0,24;0,1;0,41;0,31;0,00999999;NULL;-0,93;0,49;-1,02;0,25;1,7;1,68;-0,48;-0,21;-1,05;-0,34
-0,27;-0,07;0,41;0,36;-0,41;-0,42;-0,14;0,2;0,13;0,06;NULL;-1,83;-0,97;-1,24;1,94;-1,43;1,03;-0,63;-0,54;-1,51;-0,7
-0,07;0,11;-2,38419E-09;-0,13;-0,31;0,11;0,21;-0,35;0,42;0,3;NULL;-0,96;0,28;0,71;1,12;0,56;0,36;-1,11;-0,09;0,83;1,13
-0,19;0,2;-0,19;-0,33;-0,34;-0,1;0,2;-0,42;-2,38419E-09;-0,09;NULL;1,18;-1,1;0,32;-1,52;-0,74;-1,72;-1,11;0,63;1,81;1,21
-0,25;-0,32;0,33;-0,36;-0,16;0,28;-0,3;0,07;-0,32;0,07;NULL;-0,5;0,99;1,88;-1,46;0,97;0,03;-1,37;1;-1,85;1,63
0,16;-0,26;0,4;0,09;0,04;0,2;-0,39;0,3;0,43;-0,02;NULL;-0,08;1,29;1,81;1,21;-0,45;1,75;-1,75;-1,57;-0,8;0,75
-0,12;-0,42;0,38;0,4;-0,21;0,22;-0,21;-0,43;-0,42;0,05;NULL;-0,91;0,8;0,6;-0,73;-1,13;1,94;-1,68;0,88;-1,25;-0,77
0,34;-0,38;0,31;0,07;-0,31;0,28;0,38;-0,19;0,00999999;-0,18;NULL;0,88;1,2;-1,68;1,57;1,81;1,5;0,87;1,6;-0,36;-1,91
0,38;-0,29;-0,09;0,12;-0,42;0,09;0,27;0,1;0,09;0,43;NULL;-0,8;1,11;1,89;1,77;-0,6;1,79;-1,31;-1,46;-0,04;0,55
0,2;0,3;0,22;0,41;0,27;-0,31;0,09;-0,41;0,43;-0,22;NULL;-1,72;-1,05;-0,96;1,23;1,92;-1,32;1,93;0,49;0,32;0,2
-0,24;-0,03;-0,25;0,11;-0,02;-0,4;-0,04;0,02;0,12;-0,4;NULL;-1,76;-0,61;0,74;0,24;0,84;0,27;-0,27;0,38;0,0799999;1,85
-0,05;0,00999999;0,03;-0,39;0,09;-0,33;0,27;0,18;-0,1;-0,35;NULL;-0,17;1,75;0,26;-1,92;-1,84;1,85;1,74;-1,51;0,7;1,58
0,07;0,08;-0,39;-0,38;0,15;-0,36;0,18;-0,33;0,37;0,09;NULL;1,05;-0,81;-1,13;0,91;0,22;-1,42;0,02;0,81;1,48;-0,44
-0,33;-0,12;-0,16;0,07;-0,16;0,00999999;-0,04;-0,29;0,11;-0,03;NULL;1,58;-0,08;1,18;-1,45;-1,83;1,99;-0,62;-0,51;-0,05;0,14
-0,08;0,36;-0,24;-0,06;0,15;0,07;0,3;-0,41;-0,16;-0,04;NULL;-0,93;-0,82;0;0,92;-0,41;-0,74;-1,02;-0,55;-0,79;-1,32
0,36;-0,1;-0,03;0,23;0,09;0,43;-0,25;0,4;0,13;-0,05;NULL;-0,36;0,77;0,0799999;-1;0,16;1,19;1,66;-1,55;-1,42;0,23
0,41;-0,28;-0,42;-0,06;-0,08;-0,3;0,04;-0,12;0,02;0,22;NULL;1,7;-0,2;1,63;-1,08;-0,09;-1,05;1,51;-1,37;-1,57;0,83
-0,36;-0,03;-0,12;-0,23;0,41;-0,07;0,26;0,07;0,06;0,05;NULL;-0,41;0,94;-0,24;0,79;1,76;0,74;1,98;0,15;-1,9;0,00999999
-0,05;0,08;0,3;0,03;-0,38;-0,41;0,04;0,26;0,07;-0,42;NULL;-1,93;-1,5;-1,58;-1,15;-0,22;-0,2;0,88;-1,17;-1,11;1,33
0,27;0,04;-0,12;-0,32;-2,38419E-09;-0,33;0,24;0,14;0,26;-0,12;NULL;1,13;0,29;1,3;-0,72;0,46;1,21;-1,42;-1,96;-0,77;-1,85
0,15;0,27;-0,07;-0,21;-0,00999999;0,32;-0,28;0,12;-0,19;-0,32;NULL;-0,75;-0,66;-0,0599999;-0,57;-1,04;1,09;-1,46;-1,84;1,99;0,13
-0,38;-0,4;-0,26;0,36;-0,06;-0,34;-0,33;0,00999999;-0,29;0,38;NULL;1,76;1,14;0,39;1,65;-0,91;1,09;-1,3;-1,75;-0,11;-0,24
-0,26;0,05;-0,03;-0,14;-0,02;0,3;-0,19;-0,24;-0,34;-0,05;NULL;-1,71;0,17;-1,3;0,2;0,77;-1,37;1,91;-1,38;1,19;1,73
-0,35;0,26;0,19;-0,31;0,41;-0,19;0,42;-0,33;0,43;-0,35;NULL;-0,34;0,72;-1,66;0,61;1,47;0,4;1,93;-0,73;0,26;1,99
0,39;-0,38;-0,07;-0,08;0,24;-0,22;0,26;-0,26;0,02;0,19;NULL;1,07;-1,29;-0,6;0,27;0,41;-0,36;0,55;-1,78;-0,12;-1,5
-0,2;0,4;0,12;-0,19;-0,31;0,14;0,07;0,37;0,29;-0,41;NULL;0,25;-1,31;0,04;-0,55;-0,55;-1,34;-0,54;-0,04;-1,69;-1,81
0,28;0,1;0,1;0,28;0,06;0,24;-0,2;0,37;-0,05;-0,24;NULL;0,23;0,0999999;-0,41;-1,36;0,02;0;1,78;0,17;1,81;-1,95
-0,18;0,43;0,24;-0,34;0,35;0,13;0,02;-0,38;0,37;-0,44;NULL;-0,28;1,81;0,49;-1,07;1,27;-0,68;0,54;0,47;0,86;-0,17
-0,19;0,23;0,00999999;0,38;0,09;-0,33;0,00999999;0,22;0,24;-0,27;NULL;1,56;0,88;1,15;-1,5;-1,47;0,45;-1,57;-0,79;1,53;-0,12
-0,23;0,11;-0,23;-0,06;-0,05;-0,35;-0,4;-0,31;0,27;0,11;NULL;1,48;-0,24;-0,32;-1,24;-0,98;-0,55;1,39;-1,2;1,03;-0,46
0,2;0,26;-0,29;-0,41;0,4;-0,37;-0,24;-0,41;0,11;-0,06;NULL;-0,12;0,32;-1,15;-1,56;-1,67;0;1,44;-0,58;-1,63;0,31
-0,21;0,06;-0,17;0,36;-0,14;0,02;-0,43;0,34;-0,12;-0,44;NULL;-1,39;0,32;-1,21;-1,83;1,32;1,6;1,61;-0,34;-1,18;0,24
0,4;0,07;0,08;-0,12;-0,1;-0,37;0,23;0,18;-0,06;0,1;NULL;-1,98;0,17;-0,88;-1,31;0,04;-0,55;-1,25;-0,22;-0,89;0,04
-0,43;-0,11;-0,04;-0,42;-0,28;0,15;0,32;-0,39;-0,39;-0,25;NULL;0,5;-0,84;1,56;0,79;-1,25;1,15;0,51;1,59;1,83;-1,53
-0,05;-0,2;-0,11;-0,02;0,41;-0,29;0,21;0,19;-0,23;-0,34;NULL;0,94;-1,17;0,49;1,29;-1,88;1,75;-0,38;-1,47;-0,02;-1,65
0,18;-0,08;0,07;-0,31;0,42;0,42;0,41;-0,27;0,06;-0,44;NULL;0,64;1,59;1,09;-1,9;-0,29;-0,85;0,98;0,43;-0,9;-0,53
0,35;0,13;0,18;0,21;-0,04;0,1;-0,08;-0,43;0,38;-2,38419E-09;NULL;1,65;1,63;1,32;-0,83;-0,17;-1,34;1,04;-1,25;0,48;-1,1
-0,35;0,2;0,02;0,39;0,26;0,28;0,25;0,26;-0,28;0,26;NULL;0,2;1,93;1,85;-0,45;0,43;1,46;-1,73;0,73;-0,89;0,03
0,36;-0,21;-0,12;-0,4;-0,27;0,37;0,32;-0,34;-0,2;0,33;NULL;1,18;0,68;-1,24;1,99;-1,89;-1,21;-1,41;0,17;-0,69;-0,86
0,24;0,28;0,19;-0,22;0,18;-0,14;-0,13;-0,4;0,23;0,32;NULL;0,56;-1,15;1,97;-2;0,44;0,56;-0,2;0,00999999;-0,84;0,5
-0,28;0,00999999;-0,44;0,15;0,32;0,11;-0,38;0,22;0,00999999;0,03;NULL;-0,18;-0,71;-1,2;-0,61;-0,49;-1,53;1,48;-1,24;1,8;-0,57
-0,18;-0,27;-0,41;0,34;0,17;-0,26;0,35;0,42;0,41;-0,25;NULL;-1,01;0,34;0,24;-0,0700001;1,19;0,3;0,91;-0,48;-0,0599999;1,6
-0,34;-0,34;0,22;-0,07;0,43;-0,25;-0,02;-0,44;-0,16;0,15;NULL;-0,98;1,48;-0,56;1,43;0,56;-0,32;-1,34;-0,22;-1,25;0,36
0,42;-0,23;-0,3;-0,22;0,3;-0,26;-0,42;-0,08;-0,43;-0,1;NULL;-1,63;-0,46;0,32;-1,72;-0,95;0,62;0,15;-0,56;1,55;-1,06
0,16;0,13;0,03;-0,02;-2,38419E-09;0,25;-0,31;0,09;0,4;0,09;NULL;-0,24;1,7;1,96;-1,52;0,37;0,91;-0,89;-0,1;1,49;-1,94
-0,35;0,37;-0,08;-0,44;0,15;-0,44;0,18;-0,26;0,29;-0,37;NULL;-0,25;-1,22;0,27;1,23;0,54;-0,47;-1,64;0,77;0,95;1,49
0,14;-0,16;-0,17;0,14;0,3;-0,34;-0,28;-0,13;0,43;0,31;NULL;1,81;-1,88;0,77;0,51;-0,45;-1,4;-0,46;-1,12;-1,83;-1,55
0,36;0,11;0,15;0,00999999;-0,21;0,2;-0,07;0,03;0,2;0,33;NULL;-0,63;0,24;-1,3;0,17;-1,4;0,71;0,91;0,25;-0,1;-0,00999999
-0,04;0,33;-0,2;0,16;0,08;0,35;0,35;0,27;-0,16;0,22;NULL;-0,63;-0,64;-1,82;-0,43;-0,94;0,3;-0,13;1,63;0,19;-0,18
0,31;-0,08;0,34;-0,14;0,32;0,00999999;0,18;-0,22;-0,27;-0,11;NULL;0,0999999;1,83;-1,43;0,16;-1,01;1,15;-0,4;0,0799999;-2;-0,37
0,39;0,15;-0,27;0,29;0,12;-0,43;0,07;0,31;-0,15;0,05;NULL;-0,83;-0,66;1,48;0,75;1,02;-0,68;0,57;1,74;1,08;-0,93
-0,21;-0,00999999;0,4;0,25;-0,1;0,25;0,08;0,36;0,42;0,16;NULL;-0,92;-0,73;1,92;0,86;-1,09;-1;0,19;0,45;-1,78;-0,58
-0,03;0,23;-0,04;0,1;0,38;0,36;0,29;-0,23;-0,03;-0,41;NULL;-1,63;-1,09;1,39;-1,89;1,83;1,84;-0,89;-1,88;-1,92;-1,91
-0,39;-0,2;0,11;0,16;0,02;0,04;-0,39;0,11;-0,02;0,4;NULL;0,04;1,11;1,88;1,47;-1,7;-1,31;1,92;-0,85;-1,54;0,13
-0,16;0,24;0,21;-0,15;-0,22;-0,36;0,2;0,15;-0,25;0,13;NULL;-0,08;-1,99;-0,00999999;0,96;1,29;-0,16;-1,89;1,55;-0,97;-0,08
0,13;0,1;-0,23;0,26;0,13;0,33;-0,15;-0,39;0,12;0,39;NULL;-0,09;1,05;1,68;0,61;1,62;-1,86;0,87;1,09;-1,9;0,52
0,07;-0,42;0,08;0,09;0,29;0,19;0,11;0,33;-0,11;-0,3;NULL;0,42;-0,51;0,0699999;0,42;0,21;1,33;0,0599999;0,16;0,13;0,15
-0,4;0,06;0,39;-0,19;-0,14;0,00999999;0,04;0,23;-0,27;-0,14;NULL;-0,72;-1,39;0,61;1,56;-1,51;0,41;1,16;1,75;-0,55;1,95
0,21;0,41;0,19;-0,39;0,13;-0,03;0,17;0,06;-0,13;0,38;NULL;0,37;-0,16;1,42;-1,48;-1,22;-1,02;1,75;-0,78;0,82;1,58
0,31;0,25;-0,07;-0,26;0,19;0,18;-0,17;-0,25;0,3;0,19;NULL;1,71;1,34;0,23;-0,02;-0,32;-0,82;0,56;1,94;1,49;-1,25
-0,39;-0,05;0,14;0,00999999;0,36;-0,13;0,18;-0,17;0,14;0,04;NULL;1,56;-1,69;1,93;-0,6;-1,79;-0,69;1,61;0,18;0,74;-0,14
-0,06;0,34;0,35;-0,03;-0,2;-0,42;-0,32;0,1;-0,16;-0,33;NULL;-0,91;0,35;0,53;-1,56;-0,61;-0,00999999;-1,22;0,28;-1,09;1,49
0,28;0,05;0,37;-0,07;-0,3;-0,32;0,00999999;-0,31;-0,23;0,12;NULL;-0,74;1,55;-0,78;1,99;-0,11;-0,93;1,28;-1,18;1,17;0,12
0,37;-0,38;-0,21;0,12;-0,1;0,41;-0,3;0,18;-0,42;0,00999999;NULL;0,81;1,19;1,89;-1,25;1,43;1,24;0,55;-0,58;1,19;-0,36
-0,34;0,18;0,09;0,08;-0,16;-0,22;-0,31;0,4;-0,14;-0,23;NULL;0,33;-0,71;0,72;-0,21;-0,96;1,48;1,67;1,47;1,68;-0,78
0,18;0,38;-0,35;0,21;-0,42;-0,1;0,26;0,02;0,1;0,14;NULL;1,73;1,61;1,01;0,36;0,39;-0,87;0,38;-0,52;-1,87;1,26
0,41;-0,3;-0,00999999;0,06;-0,11;0,31;0,1;-0,09;-0,1;0,43;NULL;0,13;-1,09;0,44;1,07;-0,64;1,15;0,69;-1,31;-1,97;-0,83
0,37;0,17;-0,42;-0,07;-0,04;-0,21;-0,04;0,17;0,16;0,31;NULL;0,27;1,98;-0,53;1,96;0,48;0,43;0,84;-1,12;1,53;-0,89
-0,12;-0,32;0,07;0,27;-0,19;-0,26;0,1;-0,39;0,25;-0,26;NULL;0,93;-1,95;-0,98;0,0599999;-0,65;0,26;-1,49;-1,49;-0,23;1,06
-0,1;-0,09;-0,15;0,00999999;-0,44;-0,24;-0,18;0,43;-0,38;0,18;NULL;0,97;-0,0599999;-0,33;-1,87;-0,75;0,47;0,38;1,68;-1,28;-1,55
0,00999999;0,37;-0,25;0,38;0,13;-0,23;-0,06;0,03;-0,25;0,00999999;NULL;-1,51;-0,95;-1,3;-1,76;1,51;0,36;-1,29;1,64;1,47;0,41
0,27;-0,29;-0,27;0,41;0,32;-0,12;-0,12;-0,08;0,1;-0,24;NULL;-1,19;1,23;0,83;-0,84;0,36;1,78;-0,3;0,27;-1,32;0,45
0,32;0,03;0,3;-0,34;-0,4;-0,22;-0,35;0,39;-0,09;0,25;NULL;-0,34;-0,84;-0,61;0,15;1,87;-1,88;-0,67;1,95;0,14;1,29
-0,36;0,1;-0,2;0,24;0,36;-0,24;0,19;0,43;-0,21;-0,32;NULL;-1,58;-0,9;0,98;0,33;-0,49;-0,7;-1,38;0,4;-1,39;-1,4
-0,06;-0,37;0,33;0,37;0,37;0,03;-0,2;-0,29;0,02;-0,36;NULL;1,88;-0,02;-1,84;-0,65;-1,8;0,47;-1,75;-1,05;-0,96;-0,39
0,21;0,13;0,3;-0,07;-0,15;0,42;0,38;0,2;0,00999999;0,27;NULL;-1,15;-1,61;1,82;0,66;-0,85;-0,04;0,97;-1,29;-1,1;-1,05
-0,26;-0,00999999;0,02;-0,41;0,06;0,12;-0,27;-0,16;-2,38419E-09;0,38;NULL;1,36;0,14;-1,18;-0,97;0,37;-0,83;-1,78;0,52;-1,53;-0,8
0,24;-0,05;0,12;-0,03;-0,37;0,03;0,04;0,3;-0,44;-0,25;NULL;0,8;-0,67;1,6;-0,65;0,04;-1,88;1,68;0,7;1,96;0,52
-0,4;0,17;-0,21;-0,33;0,19;0,00999999;0,31;0,19;-0,37;-0,25;NULL;-1,52;0,68;0,43;1,3;-0,16;1,24;-1,5;0,65;-0,62;-0,73
-0,24;-0,11;-0,35;-0,33;-0,21;-0,06;0,23;-0,06;0,17;-0,04;NULL;1,02;-1,96;-1,72;-1,77;-1,2;0,8;0,34;1,17;-1,49;0,47
0,21;-0,3;0,39;-0,29;-0,43;0,17;0,24;0,15;0,02;-0,37;NULL;0,25;-1,63;0,82;-0,33;1,26;0,13;0,79;1,36;0,05;1,77
-0,34;0,08;0,21;0,39;0,05;-0,09;0,15;0,18;0,24;0,34;NULL;-0,03;-1,34;-0,7;-1,66;0,39;-1,71;-0,52;0,0999999;-0,81;-0,02
-0,16;-0,12;0,18;0,43;0,43;-0,16;-0,00999999;-0,14;-0,32;-0,24;NULL;-0,68;-0,38;-0,08;1,29;1,95;0,05;1,4;-0,54;-0,23;-1,5
0,08;-0,34;-0,39;0,4;0,18;-0,16;-0,35;-0,26;-0,00999999;0,00999999;NULL;-0,09;-1,18;0,31;-0,99;-1,34;-1,68;0,7;0,38;1,21;0,77
-0,32;0,00999999;-0,28;-0,1;0,41;-0,18;0,02;0,35;-0,13;-0,44;NULL;1,65;-1,59;1,57;1,99;-1,05;-0,35;0,82;-1,36;-1,34;0,61
0,21;-0,02;0,12;0,25;0,32;0,07;0,33;0,27;-0,02;-0,25;NULL;-0,86;-0,76;-1,43;0,0999999;-1,99;-1,38;-0,76;-1,77;1,51;0,91
-0,08;0,16;-0,3;-0,26;0,28;-0,02;-0,15;-0,14;-0,11;-0,19;NULL;1,71;0,11;1,77;-1,55;1,82;-1,9;-1,52;-0,22;0,24;1,72
0,11;-0,17;-0,27;-0,16;0,37;0,18;0,28;-0,00999999;0,1;0,21;NULL;1,28;1,15;-0,09;0,85;-0,46;-0,67;-1,3;-0,84;-1,01;-0,85
-0,19;0,39;-0,27;-0,09;0,39;-2,38419E-09;-2,38419E-09;-0,23;0,13;-0,34;NULL;-1,17;1,96;0,75;0,5;-0,31;0,22;1,51;-0,2;0,23;0,61
-0,07;0,09;-0,33;-0,3;-0,16;0,26;0,14;0,38;0,18;0,02;NULL;1,84;0,21;1,99;-0,88;-0,71;-1,59;0,8;1,71;0,28;-1,24
-0,04;-0,36;-0,15;-0,21;0,41;-2,38419E-09;-0,22;-0,21;-0,17;-0,15;NULL;0,36;-1,77;1,82;-1,84;-1,17;-0,51;-0,82;-0,69;-0,97;-0,09
-0,11;-0,12;-0,33;0,36;-0,16;-0,43;0,34;-0,39;0,36;-0,33;NULL;0,02;1,11;1,57;-0,16;1,63;0,72;0,74;-0,34;1,16;-0,31
-0,39;-0,13;0,39;0,09;-0,43;-0,2;-0,15;0,04;-0,16;-2,38419E-09;NULL;0,12;-0,17;1,59;-0,08;-0,67;0,17;0,15;1,57;0,76;-1,51
-0,00999999;-0,17;-0,06;0,37;0,19;0,12;-0,19;0,00999999;-0,31;0,00999999;NULL;-0,41;-0,26;1,07;-0,19;-0,86;-0,02;-0,46;0,58;1,29;-1,9
0,09;0,28;0,35;0,00999999;-0,39;-0,38;-0,17;0,32;-0,12;-0,3;NULL;1,86;0,47;1,52;1,31;0,67;1,11;-0,47;1,99;-0,02;-1,41
0,04;-0,13;-0,2;-0,38;-0,32;-0,35;0,43;0,24;-0,43;0,03;NULL;-0,81;-0,57;1,64;0,0599999;-0,2;-1,58;0,93;0,39;-0,12;-0,71
0,17;-0,06;-0,25;0,41;-0,25;-0,25;0,08;-0,22;0,24;-0,12;NULL;1,7;-1,82;0,72;1,45;-1,48;-0,08;1,72;-1,4;-1,66;-1,82
0,04;-0,03;0,42;-0,32;-0,35;-0,14;-0,07;0,25;0,16;-0,15;NULL;-1,51;0,64;0,31;0,18;0,92;1,35;-1,98;1,47;0,69;1,57
-0,11;0,21;-0,42;0,28;-0,41;-0,15;-0,11;-0,25;-0,33;0,37;NULL;-0,2;0,68;-1,67;1,89;-0,67;1,92;-0,64;-1,71;-1,84;0,0899999
-0,12;-0,41;-0,23;0,3;0,02;0,17;0,12;0,43;0,16;-0,34;NULL;1,51;-1,55;-0,86;-1,92;-0,49;0,36;1,03;0,79;-1,79;-1,81
0,02;0,32;0,02;-0,19;-0,22;0,14;0,18;0,33;0,17;0,09;NULL;0,37;-1,13;-0,08;-0,25;-0,97;1,3;0,14;1,71;-0,61;0,11
0,37;0,07;-0,35;-0,31;-0,36;0,02;-2,38419E-09;-0,38;0,2;0,31;NULL;-0,81;0,92;-1,87;1,45;0,8;0,52;-0,0599999;1,28;-0,7;-1,76
0,43;-0,29;0,39;0,00999999;0,00999999;0,43;-0,15;-0,43;0,4;-0,17;NULL;-1,79;0,39;1,2;-1,58;0,45;-0,7;-0,03;-0,81;0,77;-0,14
-0,29;-0,41;-0,29;-0,43;-0,21;0,43;0,26;-0,27;0,1;0,13;NULL;0,43;-1,27;-1,73;1,05;-1,15;-0,9;0,0899999;-1,13;-0,02;-0,32
-0,24;0,35;0,37;0,19;0,36;0,06;-0,35;0,21;0,25;-0,13;NULL;-1,93;0,39;0,64;-1,73;1,03;1,22;1,34;1,87;-1,68;-1,25
0,31;-0,37;-0,17;-0,37;0,13;-0,00999999;0,39;0,17;0,34;-0,00999999;NULL;-1,82;0,51;0,12;1,93;1,68;1,74;-1,9;-0,55;1,92;1,78
0,35;0,05;-0,06;-0,19;0,03;0,12;0,32;-0,09;0,17;0,21;NULL;1,72;-0,63;1,68;0,4;0,5;-1,06;-0,24;0,14;-0,19;-0,25
0,38;-0,17;-0,26;-0,03;-0,31;0,35;0,43;-0,04;0,25;-0,26;NULL;-1,95;0,69;0,13;1,52;-0,9;-1,57;-0,92;-0,16;-1,82;0,02
-0,39;-0,09;0,37;-0,03;0,41;0,2;-0,42;0,27;-0,35;0,32;NULL;0,57;-1,5;-0,64;0,47;-0,91;1,84;-0,91;0,11;-0,87;-0,68
-0,32;0,14;-0,03;-0,04;-0,12;0,16;0,35;-0,12;-2,38419E-09;0,31;NULL;1,38;0,14;0,38;0,77;1,79;-0,81;0,04;-1,04;-0,0599999;-0,83
-0,17;-0,00999999;0,05;0,21;-0,2;-0,07;-0,00999999;0,00999999;-0,39;0,12;NULL;-0,04;-1;0,0999999;1,06;-0,82;-1,16;0,52;-0,69;-1,65;0,65
-0,07;0,28;-0,39;-0,21;0,07;0,28;0,19;0,22;-0,38;-0,11;NULL;1,72;0,57;-1,81;1,18;1,73;-0,3;-1,19;1,07;0,17;0,41
-0,05;0,41;-0,4;-0,13;-0,09;-0,43;0,41;0,33;-0,38;-0,11;NULL;-0,29;1,14;-1,5;1,45;0,75;1,97;1,41;-0,74;1,36;-0,66
-0,21;-0,03;0,21;0,25;-0,25;0,41;0,09;0,39;-0,07;-0,04;NULL;0,17;0,69;1,81;-1,15;-0,59;-1,45;0,96;-0,1;-1,05;-1,34
0,38;-0,27;-0,28;0,07;-0,17;-0,23;0,36;-0,15;-0,36;0,33;NULL;1,09;-0,16;-1,47;-1,76;1,29;-1,06;0;1,58;1,83;-0,22
-0,22;0,11;-0,25;0,11;0,27;-0,28;-0,17;-0,42;-0,07;-0,41;NULL;0,75;1,34;-1,14;1,42;0,97;1,1;-0,71;1,05;1,01;0,62
-0,16;-0,17;-0,15;-0,16;-0,15;-0,03;-0,28;-0,3;0,05;0,13;NULL;1,1;-1,84;1,43;1,33;-1,84;-1,34;1,42;-1,87;-0,91;-0,29
-0,02;0,2;-0,13;-0,17;0,42;0,23;-0,27;0,15;-0,2;-0,06;NULL;0,64;-1,89;1,36;1,06;-1;-1,36;1,04;-0,21;1,37;0,02
0,04;-0,1;0,37;-0,00999999;0,27;0,38;-0,38;0,11;0,16;0,25;NULL;-0,17;-0,75;0,52;-1,56;1,08;1,73;0,62;-0,78;0,02;-0,38
-0,03;0,26;-0,02;-0,14;0,27;-2,38419E-09;0,37;0,34;0,28;-0,15;NULL;0,91;-0,26;0,0699999;-1,69;0,52;1,58;-1,71;1;-0,27;0,59
0,4;0,29;0,31;0,34;-0,34;-0,37;-0,21;-0,35;-0,22;0,32;NULL;-0,68;-1,88;-1,28;-1,25;1,42;0,48;1,69;-0,16;-0,14;0,51
0,23;0,17;0,36;0,43;0,03;-0,08;0,3;0,27;0,2;0,07;NULL;0,88;-1,61;-0,3;0,29;-1,33;-1,26;1,72;-0,47;-1,91;-1,14
-0,41;-0,35;-0,44;-0,22;-0,05;0,23;-0,24;-0,11;-0,32;0,33;NULL;-0,91;-0,58;1,91;-0,02;-0,79;1,85;-0,98;-1,62;-0,35;0,89
-0,08;-0,44;-0,05;-0,02;0,18;-0,2;0,41;0,16;-0,16;-0,32;NULL;-0,53;-0,79;-1,07;1,86;-0,26;-1,48;-0,34;1,47;0,68;0,0799999
0,31;-0,31;-0,43;0,05;0,43;-0,14;-0,04;-0,42;0,16;-0,08;NULL;0,29;1,44;1,42;-1,4;0,78;-0,15;-1,45;1,12;0,31;0,0899999
-0,07;-0,23;0,05;-0,22;-0,18;-0,33;0,23;0,21;-0,16;0,24;NULL;0,58;0,19;0,82;-1,29;0,00999999;1,82;-0,98;-0,96;1,11;-0,09
-0,05;0,24;-0,41;-0,27;0,37;-0,31;0,33;0,28;0,19;-0,26;NULL;-0,82;1,23;-1,77;-0,89;0,33;-1,56;1,79;-1,15;-2;0,18
0,39;0,4;-0,22;0,28;-0,25;0,38;0,41;-0,29;-0,31;0,18;NULL;-0,82;1,77;1,4;-1,59;1,38;-0,63;1,97;-1,59;-0,29;0,95
-0,15;-0,41;0,18;0,31;0,27;-0,07;0,12;-0,3;0,42;0,36;NULL;0,83;0,85;0,0899999;1,92;1,37;-1,4;0,02;1,27;0,14;0,27
0,11;0,16;-0,28;-0,07;-0,23;-0,05;0,14;-0,04;-0,21;0,34;NULL;0,0599999;-1,2;-1,66;0,42;1,46;1,26;1,11;-0,78;-1,55;1,34
0,21;0,29;-0,05;0,22;-0,35;0,07;0,12;-0,27;0,06;0,2;NULL;-1,15;-0,02;-1,06;-1,83;1,72;0,39;0,6;-0,42;-0,74;0,93
0,41;-0,38;0,26;-0,09;0,06;0,35;0,08;0,00999999;-0,12;0,18;NULL;1,48;0,77;-1,18;-1,23;1,11;0,54;0,75;1,66;-1,75;-1,52
